Population,Family.Unique,Block.ID,HabitatType,Region,No.Days.to.Germ,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Surv2017,sm2017,PC1,PC2,flw.no2017
AB-LL,AB-LL_13,9,Prairie,Prairie,13,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,10,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,3,0,1,0,0,0,0,1,0,-3.828798263,0.090659321,3
AB-LL,AB-LL_22,11,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,4,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,4
AB-LL,AB-LL_22,12,Prairie,Prairie,14,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,2,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,2,0,1,0,0,0,0,1,0,-3.828798263,0.090659321,2
AB-LL,AB-LL_22,3,Prairie,Prairie,9,1348.389,1,1,1,1,1,1,7,0,1,0,3,0,95,1,95,-3.828798263,0.090659321,7
AB-LL,AB-LL_22,4,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,5,0,1,0,1,0,26,1,26,-3.828798263,0.090659321,5
AB-LL,AB-LL_22,5,Prairie,Prairie,8,1348.389,1,1,1,0,1,0,11,0,1,0,5,0,131,1,131,-3.828798263,0.090659321,11
AB-LL,AB-LL_22,6,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,15,0,1,0,12,0,895,1,895,-3.828798263,0.090659321,15
AB-LL,AB-LL_22,7,Prairie,Prairie,14,1348.389,1,1,1,0,1,0,7,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,7
AB-LL,AB-LL_22,8,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,5,0,1,0,4,0,207,1,207,-3.828798263,0.090659321,5
AB-LL,AB-LL_22,9,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,5,0,1,0,0,0,0,1,0,-3.828798263,0.090659321,5
AB-LL,AB-LL_26,1,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,12,0,1,0,7,0,454,1,454,-3.828798263,0.090659321,12
AB-LL,AB-LL_26,10,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,12,0,1,0,4,0,195,1,195,-3.828798263,0.090659321,12
AB-LL,AB-LL_26,11,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_26,12,Prairie,Prairie,14,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,2,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,19,0,1,0,4,0,220,1,220,-3.828798263,0.090659321,19
AB-LL,AB-LL_26,3,Prairie,Prairie,12,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,4,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,5,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,2
AB-LL,AB-LL_26,6,Prairie,Prairie,17,1348.389,1,1,1,0,1,0,8,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,8
AB-LL,AB-LL_26,7,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,2
AB-LL,AB-LL_26,8,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,10,0,1,0,3,0,149,1,149,-3.828798263,0.090659321,10
AB-LL,AB-LL_26,9,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,11,0,1,0,4,0,144,1,144,-3.828798263,0.090659321,11
AB-LL,AB-LL_29,1,Prairie,Prairie,10,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,10,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,2
AB-LL,AB-LL_29,11,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_29,12,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_29,3,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,19,0,1,0,6,0,394,1,394,-3.828798263,0.090659321,19
AB-LL,AB-LL_29,6,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_29,7,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,5,0,1,0,4,0,225,1,225,-3.828798263,0.090659321,5
AB-LL,AB-LL_29,8,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,6,0,1,0,2,0,33,1,33,-3.828798263,0.090659321,6
AB-LL,AB-LL_29,9,Prairie,Prairie,8,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,1,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,2,0,1,0,1,0,131,1,131,-3.828798263,0.090659321,2
AB-LL,AB-LL_34,10,Prairie,Prairie,19,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,11,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
