Population,Family.Unique,Block.ID,HabitatType,Region,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Surv2017,Surv2018,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,sm.3,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,sm.tot,No.Days.to.Germ,Dist.from.cg.km.1,PC1,PC2,flw.no2018
CAR-NBA,CAR-NBA_10,2,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,17,0,1,0,6,0,395,473,1,10,1,6,868,9,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_10,3,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,6,17,0,1,0,10,0,1679,2465,1,20,1,16,4144,9,1368.191,2.575403033,1.481069919,20
CAR-NBA,CAR-NBA_10,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,3,5,0,1,0,1,0,59,1824,1,14,1,12,1883,10,1368.191,2.575403033,1.481069919,14
CAR-NBA,CAR-NBA_11,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,15,26,0,1,0,14,0,1651,490,1,10,1,8,2141,10,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_11,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,8,20,0,1,0,14,0,1915,2312,1,22,1,21,4227,10,1368.191,2.575403033,1.481069919,22
CAR-NBA,CAR-NBA_11,11,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,16,0,1,0,11,0,1012,1536,1,11,1,10,2548,8,1368.191,2.575403033,1.481069919,11
CAR-NBA,CAR-NBA_11,12,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,9,0,1,0,3,0,173,169,1,2,1,2,342,8,1368.191,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_11,2,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,26,19,0,1,0,11,0,1692,1223,1,7,1,7,2915,8,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_11,3,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,20,0,1,0,6,0,783,1588,1,10,1,10,2371,10,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_11,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,11,19,1,1,1,16,5,999,895,1,5,1,4,1899,9,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_11,7,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,2,32,0,1,0,21,0,2044,1891,1,16,1,14,3935,8,1368.191,2.575403033,1.481069919,16
CAR-NBA,CAR-NBA_11,8,Alvar,GL_alvar,1368.191,1,1,1,0,1,1,14,8,0,1,0,5,0,306,0,0,0,0,0,306,9,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_11,9,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,19,0,1,0,12,0,692,763,1,7,1,7,1455,12,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_12,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,26,25,1,1,1,18,6,2001,2011,1,19,1,18,4018,11,1368.191,2.575403033,1.481069919,19
CAR-NBA,CAR-NBA_12,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,13,22,1,1,2,13,28,1011,89,1,3,1,2,1128,10,1368.191,2.575403033,1.481069919,3
CAR-NBA,CAR-NBA_12,11,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,9,0,1,0,8,0,575,240,1,7,1,6,815,12,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_12,12,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,11,0,1,0,8,0,906,95,1,1,1,1,1001,8,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_12,2,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,16,0,1,0,9,0,608,22,1,5,1,1,630,8,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_12,3,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,12,0,1,0,6,0,722,798,1,12,1,8,1520,12,1368.191,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_12,5,Alvar,GL_alvar,1368.191,1,1,1,0,1,1,2,22,0,1,0,13,0,887,0,0,0,0,0,887,11,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_12,7,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,4,26,0,1,0,23,0,2777,1290,1,14,1,12,4067,9,1368.191,2.575403033,1.481069919,14
CAR-NBA,CAR-NBA_12,8,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,10,28,1,1,1,21,12,2585,3116,1,20,1,20,5713,18,1368.191,2.575403033,1.481069919,20
CAR-NBA,CAR-NBA_12,9,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,1,0,1,0,0,0,0,153,1,2,1,1,153,8,1368.191,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_13,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,10,16,1,1,4,7,96,586,1095,1,9,1,9,1777,8,1368.191,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_13,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,12,4,0,1,0,0,0,0,460,1,9,1,7,460,10,1368.191,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_13,11,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,33,20,1,1,3,13,0,948,1870,1,15,1,14,2818,10,1368.191,2.575403033,1.481069919,15
CAR-NBA,CAR-NBA_13,12,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,1,0,1,0,1,0,22,0,1,1,0,0,22,13,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_13,2,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,22,33,1,1,14,22,338,2203,1145,1,10,1,7,3686,12,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_13,3,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,10,14,1,1,2,11,56,3178,1561,1,10,1,9,4795,11,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_13,4,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,9,19,1,1,3,12,71,1337,892,1,14,1,9,2300,9,1368.191,2.575403033,1.481069919,14
CAR-NBA,CAR-NBA_13,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,9,4,1,1,2,2,61,91,323,1,2,1,1,475,8,1368.191,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_13,6,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,16,16,1,1,6,12,141,1083,578,1,5,1,5,1802,10,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_13,7,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,45,20,1,1,9,11,0,655,200,1,4,1,2,855,11,1368.191,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_13,8,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,2,27,1,1,9,20,98,2383,2646,1,17,1,15,5127,9,1368.191,2.575403033,1.481069919,17
CAR-NBA,CAR-NBA_13,9,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,7,9,0,1,0,3,0,232,1304,1,9,1,9,1536,12,1368.191,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_21,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,8,24,0,1,0,13,0,820,445,1,14,1,7,1265,10,1368.191,2.575403033,1.481069919,14
CAR-NBA,CAR-NBA_21,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,15,0,1,0,12,0,527,36,1,5,1,1,563,12,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_21,11,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,10,0,1,0,6,0,175,0,1,1,0,0,175,10,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_21,12,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,6,0,1,0,3,0,102,0,1,1,0,0,102,14,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_21,2,Alvar,GL_alvar,1368.191,1,1,1,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_21,3,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,17,0,1,0,5,0,537,36,1,5,1,1,573,10,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_21,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,25,9,0,0,0,0,0,0,662,1,27,1,19,662,10,1368.191,2.575403033,1.481069919,27
CAR-NBA,CAR-NBA_21,6,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,4,4,0,1,0,1,0,93,176,1,6,1,4,269,9,1368.191,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_21,7,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,5,9,0,1,0,2,0,96,122,1,13,1,5,218,9,1368.191,2.575403033,1.481069919,13
CAR-NBA,CAR-NBA_21,9,Alvar,GL_alvar,1368.191,1,1,1,0,0,1,0,7,0,1,0,5,0,133,0,0,0,0,0,133,9,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_3,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,9,25,0,1,0,16,0,1327,1630,1,21,1,16,2957,12,1368.191,2.575403033,1.481069919,21
CAR-NBA,CAR-NBA_3,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,4,3,0,1,0,3,0,167,322,1,8,1,5,489,8,1368.191,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_3,11,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,10,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_3,2,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,22,20,0,1,0,15,0,1634,1162,1,10,1,9,2796,9,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_3,3,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,2,12,0,1,0,10,0,1975,887,1,7,1,5,2862,9,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_3,4,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,58,24,1,1,2,15,29,1326,1410,1,12,1,7,2765,11,1368.191,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_3,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,20,17,0,1,0,5,0,1536,1621,1,12,1,12,3157,9,1368.191,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_3,6,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,21,21,1,1,1,12,12,1158,893,1,9,1,7,2063,9,1368.191,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_3,7,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,9,19,1,1,1,13,1,1483,356,1,4,1,4,1840,10,1368.191,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_3,8,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,17,0,1,0,14,0,1641,2140,1,15,1,14,3781,9,1368.191,2.575403033,1.481069919,15
CAR-NBA,CAR-NBA_3,9,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,8,9,0,1,0,7,0,1282,632,1,8,1,4,1914,9,1368.191,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_4,11,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,23,0,1,0,15,0,1492,331,1,4,1,4,1823,11,1368.191,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_4,12,Alvar,GL_alvar,1368.191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_4,2,Alvar,GL_alvar,1368.191,1,1,1,0,1,1,14,18,1,1,1,13,13,1146,0,0,0,0,0,1159,9,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_4,3,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,23,15,0,1,0,10,0,1286,0,1,1,0,0,1286,9,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_4,4,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,13,30,0,1,0,18,0,1778,1280,1,15,1,10,3058,11,1368.191,2.575403033,1.481069919,15
CAR-NBA,CAR-NBA_4,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,32,26,0,1,0,17,0,1414,2071,1,13,1,13,3485,12,1368.191,2.575403033,1.481069919,13
CAR-NBA,CAR-NBA_4,7,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,6,23,0,1,0,11,0,900,250,1,6,1,4,1150,9,1368.191,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_4,8,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,4,0,1,0,3,0,317,0,1,1,0,0,317,11,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_4,9,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,17,0,1,0,15,0,1900,604,1,7,1,6,2504,11,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_7,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,6,9,0,1,0,6,0,45,1136,1,7,1,6,1181,10,1368.191,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_7,10,Alvar,GL_alvar,1368.191,1,1,1,0,1,1,3,17,0,1,0,16,0,2340,0,0,0,0,0,2340,9,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_7,11,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,15,16,0,1,0,11,0,836,425,1,6,1,5,1261,10,1368.191,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_7,12,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,15,11,1,1,3,5,36,353,94,1,3,1,3,483,10,1368.191,2.575403033,1.481069919,3
CAR-NBA,CAR-NBA_7,3,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,6,14,1,1,1,9,12,1649,667,1,5,1,5,2328,9,1368.191,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_7,4,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,17,8,0,1,0,5,0,274,355,1,8,1,4,629,10,1368.191,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_7,5,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,3,5,0,1,0,3,0,201,183,1,1,1,1,384,10,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_8,7,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,21,0,1,0,16,0,2028,1634,1,9,1,9,3662,9,1368.191,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_8,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,18,25,1,1,2,16,22,2110,3208,1,19,1,19,5340,9,1368.191,2.575403033,1.481069919,19
CAR-NBA,CAR-NBA_8,10,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,14,11,0,1,0,1,0,147,1199,1,11,1,9,1346,10,1368.191,2.575403033,1.481069919,11
CAR-NBA,CAR-NBA_8,11,Alvar,GL_alvar,1368.191,1,1,1,0,0,1,0,2,0,1,0,2,0,66,0,0,0,0,0,66,8,1368.191,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_8,2,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,1,16,0,1,0,7,0,827,819,1,10,1,8,1646,8,1368.191,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_8,3,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,13,0,1,0,6,0,340,0,1,3,0,0,340,8,1368.191,2.575403033,1.481069919,3
CAR-NBA,CAR-NBA_8,4,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,3,6,0,1,0,4,0,359,176,1,6,1,3,535,8,1368.191,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_8,6,Alvar,GL_alvar,1368.191,1,1,1,1,0,1,0,9,0,1,0,4,0,370,159,1,4,1,3,529,8,1368.191,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_8,8,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,7,21,0,1,0,15,0,2009,1456,1,9,1,8,3465,9,1368.191,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_8,9,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,39,24,0,1,0,15,0,1949,1424,1,6,1,4,3373,8,1368.191,2.575403033,1.481069919,6
CAR-PSR,CAR-PSR_6,7,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,2,3,1,1,1,2,16,196,45,1,1,1,1,257,14,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_1,3,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,5,20,0,1,0,13,0,780,658,1,14,1,6,1438,10,1366.181,2.668827574,1.222972369,14
CAR-PSR,CAR-PSR_10,1,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,3,23,0,1,0,16,0,1448,829,1,14,1,11,2277,8,1366.181,2.668827574,1.222972369,14
CAR-PSR,CAR-PSR_10,10,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,5,17,0,1,0,11,0,1333,1427,1,14,1,12,2760,8,1366.181,2.668827574,1.222972369,14
CAR-PSR,CAR-PSR_10,11,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,1,8,0,1,0,3,0,144,0,1,1,0,0,144,9,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_10,12,Alvar,GL_alvar,1366.181,1,1,1,0,1,1,20,13,0,1,0,9,0,691,0,0,0,0,0,691,13,1366.181,2.668827574,1.222972369,0
CAR-PSR,CAR-PSR_10,2,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,6,34,0,1,0,27,0,1890,460,1,6,1,4,2350,9,1366.181,2.668827574,1.222972369,6
CAR-PSR,CAR-PSR_10,4,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,10,19,0,1,0,15,0,1076,920,1,11,1,8,1996,10,1366.181,2.668827574,1.222972369,11
CAR-PSR,CAR-PSR_10,6,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,17,0,1,0,12,0,932,751,1,4,1,4,1683,11,1366.181,2.668827574,1.222972369,4
CAR-PSR,CAR-PSR_10,8,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,12,0,1,0,10,0,916,957,1,12,1,7,1873,13,1366.181,2.668827574,1.222972369,12
CAR-PSR,CAR-PSR_10,9,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,14,0,1,0,9,0,709,290,1,5,1,3,999,9,1366.181,2.668827574,1.222972369,5
CAR-PSR,CAR-PSR_12,1,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,38,14,1,1,2,7,5,1158,51,1,3,1,3,1214,13,1366.181,2.668827574,1.222972369,3
CAR-PSR,CAR-PSR_12,11,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,13,10,1,1,1,9,0,878,343,1,4,1,3,1221,11,1366.181,2.668827574,1.222972369,4
CAR-PSR,CAR-PSR_12,2,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,19,25,1,1,4,16,91,1207,722,1,8,1,6,2020,8,1366.181,2.668827574,1.222972369,8
CAR-PSR,CAR-PSR_12,4,Alvar,GL_alvar,1366.181,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1366.181,2.668827574,1.222972369,0
CAR-PSR,CAR-PSR_12,6,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,24,20,1,1,2,11,0,2012,901,1,10,1,8,2913,10,1366.181,2.668827574,1.222972369,10
CAR-PSR,CAR-PSR_12,7,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,16,17,1,1,3,11,7,737,1754,1,12,1,11,2498,10,1366.181,2.668827574,1.222972369,12
CAR-PSR,CAR-PSR_12,8,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,19,0,1,0,14,0,2103,1483,1,7,1,7,3586,9,1366.181,2.668827574,1.222972369,7
CAR-PSR,CAR-PSR_12,9,Alvar,GL_alvar,1366.181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1366.181,2.668827574,1.222972369,0
CAR-PSR,CAR-PSR_14,10,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,46,31,0,1,0,19,0,1973,334,1,7,1,4,2307,9,1366.181,2.668827574,1.222972369,7
CAR-PSR,CAR-PSR_14,12,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,2,0,1,0,2,0,124,56,1,1,1,1,180,11,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_14,3,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,5,20,1,1,3,11,53,2420,2387,1,16,1,14,4860,8,1366.181,2.668827574,1.222972369,16
CAR-PSR,CAR-PSR_14,9,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,15,41,1,1,2,36,34,4101,2731,1,18,1,17,6866,8,1366.181,2.668827574,1.222972369,18
CAR-PSR,CAR-PSR_20,10,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,4,4,0,1,0,2,0,250,623,1,5,1,5,873,12,1366.181,2.668827574,1.222972369,5
CAR-PSR,CAR-PSR_20,11,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,7,0,1,0,7,0,396,0,1,1,0,0,396,10,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_20,2,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,10,0,1,0,7,0,584,389,1,6,1,4,973,9,1366.181,2.668827574,1.222972369,6
CAR-PSR,CAR-PSR_20,3,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,14,0,1,0,7,0,273,707,1,16,1,15,980,12,1366.181,2.668827574,1.222972369,16
CAR-PSR,CAR-PSR_20,4,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,13,12,1,1,6,9,124,1117,392,1,4,1,3,1633,10,1366.181,2.668827574,1.222972369,4
CAR-PSR,CAR-PSR_20,5,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,8,10,1,1,4,8,25,570,0,1,1,0,0,595,9,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_20,6,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,11,9,1,0,1,0,25,0,0,1,2,0,0,25,13,1366.181,2.668827574,1.222972369,2
CAR-PSR,CAR-PSR_20,7,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,29,34,1,1,3,23,0,3048,310,1,4,1,3,3358,11,1366.181,2.668827574,1.222972369,4
CAR-PSR,CAR-PSR_20,8,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,3,16,1,1,2,6,0,1341,2051,1,11,1,10,3392,10,1366.181,2.668827574,1.222972369,11
CAR-PSR,CAR-PSR_20,9,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,1,10,0,1,0,9,0,921,88,1,3,1,1,1009,9,1366.181,2.668827574,1.222972369,3
CAR-PSR,CAR-PSR_23,1,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,4,3,1,1,3,2,43,308,310,1,3,1,2,661,13,1366.181,2.668827574,1.222972369,3
CAR-PSR,CAR-PSR_23,12,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,8,2,0,0,0,0,0,0,80,1,1,1,1,80,10,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_23,3,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,2,5,0,1,0,1,0,69,0,1,1,0,0,69,12,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_23,4,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,10,0,1,0,2,0,88,219,1,3,1,2,307,12,1366.181,2.668827574,1.222972369,3
CAR-PSR,CAR-PSR_23,5,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,3,0,1,0,1,0,103,144,1,2,1,1,247,8,1366.181,2.668827574,1.222972369,2
CAR-PSR,CAR-PSR_23,6,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,2,7,0,1,0,4,0,247,0,1,1,0,0,247,11,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_23,7,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,8,11,0,1,0,8,0,633,72,1,2,1,1,705,12,1366.181,2.668827574,1.222972369,2
CAR-PSR,CAR-PSR_23,8,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,2,10,0,1,0,4,0,438,940,1,7,1,7,1378,12,1366.181,2.668827574,1.222972369,7
CAR-PSR,CAR-PSR_23,9,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,5,0,1,0,2,0,167,1328,1,12,1,10,1495,9,1366.181,2.668827574,1.222972369,12
CAR-PSR,CAR-PSR_25,1,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,13,8,1,0,3,0,37,0,424,1,13,1,7,461,9,1366.181,2.668827574,1.222972369,13
CAR-PSR,CAR-PSR_25,4,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,6,19,0,1,0,7,0,841,1449,1,12,1,11,2290,8,1366.181,2.668827574,1.222972369,12
CAR-PSR,CAR-PSR_25,6,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,1,26,0,1,0,12,0,1772,1401,1,11,1,9,3173,11,1366.181,2.668827574,1.222972369,11
CAR-PSR,CAR-PSR_25,8,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,7,15,1,1,1,9,23,1527,869,1,9,1,8,2419,8,1366.181,2.668827574,1.222972369,9
CAR-PSR,CAR-PSR_31,10,Alvar,GL_alvar,1366.181,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1366.181,2.668827574,1.222972369,0
CAR-PSR,CAR-PSR_31,11,Alvar,GL_alvar,1366.181,1,1,1,0,0,1,0,6,0,1,0,5,0,217,0,0,0,0,0,217,10,1366.181,2.668827574,1.222972369,0
CAR-PSR,CAR-PSR_31,12,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,11,0,1,0,7,0,479,0,1,1,0,0,479,11,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_31,2,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,1,5,0,1,0,4,0,142,0,1,1,0,0,142,17,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_31,3,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,1,0,1,0,1,0,533,0,1,1,0,0,533,12,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_31,4,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,2,5,0,1,0,4,0,283,0,1,1,0,0,283,8,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_31,5,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,6,0,1,0,3,0,16,12,1,1,1,1,28,8,1366.181,2.668827574,1.222972369,1
CAR-PSR,CAR-PSR_31,6,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,13,33,1,1,1,15,20,1121,0,1,3,0,0,1141,9,1366.181,2.668827574,1.222972369,3
CAR-PSR,CAR-PSR_31,8,Alvar,GL_alvar,1366.181,1,1,1,1,1,1,1,19,1,1,1,14,15,1569,404,1,4,1,3,1988,9,1366.181,2.668827574,1.222972369,4
CAR-PSR,CAR-PSR_31,9,Alvar,GL_alvar,1366.181,1,1,1,1,0,1,0,7,0,1,0,5,0,97,0,1,1,0,0,97,9,1366.181,2.668827574,1.222972369,1
