Population,Family.Unique,Block.ID,HabitatType,Region,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Surv2017,Surv2018,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,sm.3,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,sm.tot,No.Days.to.Germ,Dist.from.cg.km.1,PC1,PC2,flw.no2018
AB-LL,AB-LL_13,12,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,2,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,13,0,1,0,6,0,440,14,1,1,1,1,454,10,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_13,3,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,4,0,0,0,0,0,0,148,1,1,1,1,148,9,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_13,4,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,1,0,1,0,18,0,1,1,0,0,18,14,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_13,5,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,12,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_13,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,5,0,1,0,2,0,122,0,0,0,0,0,122,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,11,0,1,0,5,0,388,257,1,5,1,5,645,10,1348.389,-3.828798263,0.090659321,5
AB-LL,AB-LL_13,9,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,10,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,11,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,12,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,2,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,3,Prairie,Prairie,1348.389,1,1,1,0,1,1,1,7,0,1,0,3,0,95,0,0,0,0,0,95,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,4,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,5,0,1,0,1,0,26,0,0,0,0,0,26,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,5,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,11,0,1,0,5,0,131,0,0,0,0,0,131,8,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,15,0,1,0,12,0,895,0,0,0,0,0,895,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,7,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,5,0,1,0,4,0,207,0,1,2,0,0,207,11,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_22,9,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,1,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,12,0,1,0,7,0,454,0,1,2,0,0,454,10,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_26,10,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,12,0,1,0,4,0,195,0,1,1,0,0,195,9,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_26,11,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,12,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,2,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,19,0,1,0,4,0,220,199,1,7,1,4,419,9,1348.389,-3.828798263,0.090659321,7
AB-LL,AB-LL_26,3,Prairie,Prairie,1348.389,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,12,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_26,4,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,0,0,0,0,0,0,0,125,1,2,1,2,125,11,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_26,5,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,2,0,0,0,0,0,0,172,1,2,1,2,172,11,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_26,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,7,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,10,0,1,0,3,0,149,666,1,14,1,9,815,12,1348.389,-3.828798263,0.090659321,14
AB-LL,AB-LL_26,9,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,11,0,1,0,4,0,144,44,1,1,1,1,188,11,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_29,1,Prairie,Prairie,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,10,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,11,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,12,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,3,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,19,0,1,0,6,0,394,123,1,3,1,2,517,10,1348.389,-3.828798263,0.090659321,3
AB-LL,AB-LL_29,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,7,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,5,0,1,0,4,0,225,22,1,1,1,1,247,9,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_29,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,6,0,1,0,2,0,33,101,1,2,1,2,134,10,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_29,9,Prairie,Prairie,1348.389,1,1,1,1,0,0,0,0,0,0,0,0,0,0,118,1,1,1,1,118,8,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,1,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,2,0,1,0,1,0,131,104,1,1,1,1,235,12,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,10,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,11,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,12,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,1,0,1,0,33,0,1,1,0,0,33,12,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,2,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,2,0,1,0,1,0,126,0,0,0,0,0,126,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,3,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,7,0,1,0,2,0,170,19,1,3,1,1,189,9,1348.389,-3.828798263,0.090659321,3
AB-LL,AB-LL_34,4,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,5,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,0,0,0,0,0,28,1,1,1,1,28,10,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,6,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,4,0,1,0,3,0,254,0,1,1,0,0,254,10,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,7,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,3,0,1,0,2,0,115,0,0,0,0,0,115,8,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,2,0,1,0,2,0,47,0,1,2,0,0,47,11,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_34,9,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,1,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,6,0,1,0,5,0,574,137,1,2,1,2,711,9,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_40,11,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,12,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,11,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,2,Prairie,Prairie,1348.389,1,1,1,1,1,1,5,6,0,1,0,5,0,74,33,1,3,1,1,107,9,1348.389,-3.828798263,0.090659321,3
AB-LL,AB-LL_40,3,Prairie,Prairie,1348.389,1,1,1,1,1,1,1,11,0,1,0,11,0,1003,101,1,1,1,1,1104,8,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,4,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,7,0,1,0,7,0,450,0,1,1,0,0,450,11,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,5,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,8,0,1,0,1,0,24,154,1,3,1,1,178,12,1348.389,-3.828798263,0.090659321,3
AB-LL,AB-LL_5,1,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,4,0,1,0,1,0,37,0,0,0,0,0,37,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,10,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,5,0,1,0,4,0,226,0,1,1,0,0,226,9,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,12,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,3,0,1,0,1,0,33,0,1,1,0,0,33,12,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_5,12,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,10,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_5,2,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,21,0,1,0,15,0,993,0,0,0,0,0,993,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,3,Prairie,Prairie,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,4,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,5,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1348.389,-3.828798263,0.090659321,0
